"scope","path","size_bytes","sha256"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/voter_rankings.csv","736095","5a9f575b6c57d45d77affae05be481c987a23b64d8e933b56787ae9ef7a1843d"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/aggregate_ranking.csv","93461","b9f0eeb938bfa748c7301c93cf1fc2ccdd62624f095a21a3ccbfccf42b7e7f1d"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/candidate_features.csv","2843","76a2eaf73b4c4fd44e183d42fa912375f3b67c62966f9225d1c3325a8ee018cc"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/effective_model_config.json","1568","43fb73f4227b6db7113faab6fad0392a6af6a9eeb68bca24b20f08d611540c52"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/prediction_metadata.json","1938","ab01b44f9a2851503b99b12e5e42274f4d2d78814ccffa58c78e1e8989a87c4e"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/predictions_dev.csv","2922141","718572cda9ed7c21ec7d92ee2fb944d35401f28f32a059ff589db0330a448edd"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/rfe_selection_trace.csv","3943","9b25cb302eaf170a2f53cbcc68b0e8a7255d686754a9fae0c3813e6b578ea8bd"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/selected_features.csv","564","d66c5a9b4b0d441d18db1b6490a9913618d88921df7e8ba15a64858542a39280"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_2/voter_rankings.csv","736279","a7517a010ff34fa99acf5ebd950543eb089e493cbe7d06cdb744e6447fb18763"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/aggregate_ranking.csv","93396","ae643cd432958fc2d4cc21faba0faabc7848b3b83425ef513a04a77cb5f370b5"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/candidate_features.csv","2841","d87a1cdd8076f3b56f7a1a9a82af468370d7bb2cd84dc2206f8d1423cdbe3a6d"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/effective_model_config.json","1568","43fb73f4227b6db7113faab6fad0392a6af6a9eeb68bca24b20f08d611540c52"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/prediction_metadata.json","1938","81322c10234d9aa6471f47c91d92cedc437b6732c02a9dfa84a1753f6a8a365b"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/predictions_dev.csv","2880159","faeaa5f1c1b6735a86ac4e391aa143e0845f9ed8c1e724547f9027335927a9b1"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/rfe_selection_trace.csv","3941","c644ed9aa8bac87b3548f528593993ee4d45d3b6aa20e54efbe74de18945bf65"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/selected_features.csv","562","c21958c638bf996469ba5282c77f1586feb4e11212de4287a92333946608488c"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_3/voter_rankings.csv","736294","2076d98046e292cc614007535aa73816f8e397019a3c2f3d502c5d0809825058"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/aggregate_ranking.csv","93506","bc91e0691525bd7342050df4f0978bf95ca361032bb301925ba64e743054dda1"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/candidate_features.csv","2859","b02ccca17316441dc559f17e9f8ac8488b41375437a6dc357f5e1a73a534bae6"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_4/effective_model_config.json","1568","43fb73f4227b6db7113faab6fad0392a6af6a9eeb68bca24b20f08d611540c52"
