run_id,dataset,model,method_id,split,metric,stored_value,recomputed_value,absolute_difference,tolerance,status
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,oot,brier,0.2201144092198424,0.2201144092198424,0.0,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,oot,lift_at_10,1.929434354652518,1.929434354652518,0.0,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,dev,auc,0.734218675132294,0.734218675132294,0.0,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,dev,gini,0.468437350264588,0.468437350264588,0.0,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,dev,ks,0.3474043206855855,0.34740432068558563,1.1102230246251565e-16,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,dev,log_loss,0.606971611232096,0.606971611232096,0.0,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,dev,brier,0.2085190040679276,0.20851900406792767,8.326672684688674e-17,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,oot,auc,0.7381468221833661,0.7381468221833661,0.0,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,oot,gini,0.4762936443667322,0.47629364436673227,5.551115123125783e-17,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,oot,ks,0.3482322036423654,0.34823220364236557,1.6653345369377348e-16,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,oot,log_loss,0.6299551283228517,0.6299551283228517,0.0,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,oot,brier,0.2184648221790276,0.21846482217902763,2.7755575615628914e-17,1e-12,pass
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,oot,lift_at_10,3.005999877119823,3.005999877119823,0.0,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,dev,auc,0.9215104484490434,0.9215104484490434,0.0,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,dev,gini,0.8430208968980868,0.8430208968980868,0.0,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,dev,ks,0.695336843494399,0.695336843494399,0.0,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,dev,log_loss,0.4248003433250001,0.42480034332500016,5.551115123125783e-17,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,dev,brier,0.1339203926012773,0.13392039260127733,2.7755575615628914e-17,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,oot,auc,0.7685707064474809,0.7685707064474809,0.0,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,oot,gini,0.5371414128949619,0.5371414128949619,0.0,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,oot,ks,0.4012080599807106,0.4012080599807107,1.1102230246251565e-16,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,oot,log_loss,0.4890495521777003,0.48904955217770035,5.551115123125783e-17,1e-12,pass
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,oot,brier,0.1609429072178787,0.1609429072178787,0.0,1e-12,pass
