result_id,dataset,method,method_family,configuration,model,requested_k,realized_k,reference_natural_support_k,support_status,padding,oot_rows,oot_events,dev_auc_mean,dev_auc_sd,dev_auc_ci_lower,dev_auc_ci_upper,oot_auc,oot_gini,oot_ks,oot_lift_at_10,oot_bad_rate_capture_at_10,oot_log_loss,oot_brier,oot_minus_dev_auc,nogueira_stability,mean_pairwise_jaccard,kuncheva_index,score_psi,feature_psi_mean,fit_seconds,prediction_seconds,wall_clock_seconds,peak_rss_bytes,peak_gpu_memory_bytes,result_authentication_reference,prediction_authentication_reference,confirmatory_eligibility,notes
result__homecredit__catboost__iv_then_boruta__pool100,homecredit,iv_then_boruta,combination,pool100,catboost,,75,,natural_support,False,120053,10688,0.7477249995393417,0.0167244051917017,0.7330654120377187,0.7623845870409647,0.7686339055533153,0.5372678111066307,0.40522118822976727,3.4242015406967177,0.34244011976047906,0.48058459014029653,0.15732348066497687,0.02090890601397366,,0.5221276130828344,,0.040361611776997534,,176.27376800001366,,,2811527168.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-006-homecredit-iv-then-boruta-catboost-full-dev-pool100-s42.oot_predictions.csv,registry_dependent,
result__homecredit__lr__iv_then_boruta__pool200,homecredit,iv_then_boruta,combination,pool200,lr,,107,,natural_support,False,120053,10688,0.743540353606645,0.0154216983349991,0.7300226390108682,0.7570580682024219,0.7620227099976429,0.5240454199952858,0.3915177565592994,3.253927037853329,0.32541167664670656,0.6318837722664904,0.21709277667386337,0.018482356390997823,,0.5145038957335922,,0.018845481057627636,,288.8483490999788,,,2798465024.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-009-homecredit-iv-then-boruta-lr-full-dev-pool200-s42.oot_predictions.csv,registry_dependent,
result__homecredit__catboost__iv_then_boruta__pool200,homecredit,iv_then_boruta,combination,pool200,catboost,,107,,natural_support,False,120053,10688,0.7508565024592089,0.0162597638970145,0.736604191009455,0.7651088139089628,0.7766526823256519,0.5533053646513038,0.41636218801595815,3.534599295287486,0.3534805389221557,0.457773231749135,0.14827953463427887,0.025796179866443003,,0.5145038957335922,,0.015904640672413692,,288.8483490999788,,,3225952256.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-010-homecredit-iv-then-boruta-catboost-full-dev-pool200-s42.oot_predictions.csv,registry_dependent,
result__homecredit__lr__iv_then_boruta__pool300,homecredit,iv_then_boruta,combination,pool300,lr,,136,,natural_support,False,120053,10688,0.7446867217270631,0.0166088352911267,0.7301284357097448,0.7592450077443813,0.7645699762524054,0.5291399525048108,0.39867168009338616,3.268896224916484,0.32690868263473055,0.6194649600991684,0.21167714607416935,0.019883254525342342,,0.5326808634194815,,0.02563021748232742,,390.66208229999756,,,3194458112.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-013-homecredit-iv-then-boruta-lr-full-dev-pool300-s42.oot_predictions.csv,registry_dependent,
result__homecredit__catboost__iv_then_boruta__pool300,homecredit,iv_then_boruta,combination,pool300,catboost,,136,,natural_support,False,120053,10688,0.7531741422901356,0.0192003920659564,0.7363442566033181,0.770004027976953,0.7796912612506437,0.5593825225012874,0.419050013742916,3.554246353307877,0.3554453592814371,0.45435278972248677,0.1467865079218548,0.026517118960508124,,0.5326808634194815,,0.023487044594878544,,390.66208229999756,,,2823467008.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-014-homecredit-iv-then-boruta-catboost-full-dev-pool300-s42.oot_predictions.csv,registry_dependent,
result__homecredit__lr__boruta_then_mrmr_mutual_information__k20,homecredit,boruta_then_mrmr_mutual_information,combination,k20,lr,20,20,,authenticated,False,120053,10688,0.7327898103127278,0.0103828080417367,0.7236888777978951,0.7418907428275605,0.7438457692350863,0.48769153847017255,0.360901024894389,3.042487270586264,0.30426646706586824,0.6439270671380043,0.22425107571332506,0.011055958922358444,,0.3592520060124587,0.4907465618860511,0.007999357696320025,,494.45371120003983,,,2660405248.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-017-homecredit-boruta-then-mrmr-mutual-information-lr-full-dev-k20-s42.oot_predictions.csv,registry_dependent,
result__homecredit__catboost__boruta_then_mrmr_mutual_information__k40,homecredit,boruta_then_mrmr_mutual_information,combination,k40,catboost,40,40,26,reference_infeasible_natural_support_26__oot_refit_authenticated,False,120053,10688,0.7514236892731893,0.0156513904796041,0.7377046406357124,0.7651427379106661,0.7712773362888815,0.542554672577763,0.40758011904458813,3.399876611719091,0.3400074850299401,0.4863011362397253,0.15994857159599715,0.019853647015692255,,0.4204268136698809,,0.041812743052826236,,503.78220119996695,,,3045527552.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-018-homecredit-boruta-then-mrmr-mutual-information-catboost-full-dev-k40-s42.oot_predictions.csv,exploratory_natural_support_context,OOT full-DEV refit realized 40; frozen unpadded reference support remains 26
result__homecredit__lr__boruta_then_rfe_catboost__k20,homecredit,boruta_then_rfe_catboost,combination,k20,lr,20,20,,authenticated,False,120053,10688,0.7358722795120457,0.0107319508775977,0.7264653098081949,0.7452792492158965,0.7477855041186315,0.4955710082372631,0.3672918127878108,3.106106315604673,0.3106287425149701,0.6379233504724018,0.2216414756728822,0.011913224606585837,,0.410660603764052,0.5634970530451866,0.013209323332191658,,561.7956110000378,,,3050823680.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-021-homecredit-boruta-then-rfe-catboost-lr-full-dev-k20-s42.oot_predictions.csv,registry_dependent,
result__homecredit__catboost__boruta_then_rfe_catboost__k40,homecredit,boruta_then_rfe_catboost,combination,k40,catboost,40,40,26,reference_infeasible_natural_support_26__oot_refit_authenticated,False,120053,10688,0.7542860972591622,0.0175569115527233,0.7388967857580806,0.7696754087602438,0.7759090420516804,0.5518180841033609,0.4118479480827127,3.511209940501306,0.35114146706586824,0.4713298524457608,0.15389058929061966,0.02162294479251825,,0.4410639788915402,,0.023604695926247407,,547.0040111000417,,,3191750656.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-022-homecredit-boruta-then-rfe-catboost-catboost-full-dev-k40-s42.oot_predictions.csv,exploratory_natural_support_context,OOT full-DEV refit realized 40; frozen unpadded reference support remains 26
result__homecredit__lr__cross_dataset_rank_voting_v1_primary_pool_200__pool200,homecredit,cross_dataset_rank_voting_v1_primary_pool_200,voting,pool200,lr,20,20,,external_voting_primary_pool_200,False,120053,10688,0.7386995408176371,,,,0.749237864450772,0.498475728901544,0.370568845507449,3.1416581348796657,0.31418413173652693,0.6324757216705393,0.2191932283168851,0.010538323633134894,,0.4897167289371187,0.6362475442043223,0.0099409471023806,0.0344272870381527,,,1344.176754599961,3142127616.0,0,authentication_inventory.json,results/runs/homecredit/cdv1-003-homecredit-voting-k200-lr-s42/results/oot_predictions.csv,exploratory_voting_context,
