record_kind,record_id,fit_order,configuration_order,fit_id,method_id,model,requested_feature_budget,realized_support,status,reason,natural_support_like_for_like,prediction_rows,prediction_alignment_authenticated,metric_recalculation_authenticated,fit_seconds,preprocessing_seconds,training_seconds,prediction_seconds,metric_seconds,total_seconds,manifest_sha256,artifact_path
selection_fit,fit_001,1,,fit_001,full_features,,,1959.0,complete,,,,,,0.10867169999983162,,,,,0.10867169999983162,cedd0dc658d2bec34f471d0ed69fd34fcd1ba48bee947caf07eb591891382561,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_001
selection_fit,fit_002,2,,fit_002,full_features,,,1959.0,complete,,,,,,0.10898320004343987,,,,,0.10898320004343987,ed3aebd742fab54984225f89dd22822127fb7c08d50d79c12d97d4fbf7fae9c9,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_002
selection_fit,fit_003,3,,fit_003,random_k,,20.0,20.0,complete,,,,,,0.048300999915227294,,,,,0.048300999915227294,cdd38093d3ff7013112408ca654a4867b9f0275aa2ec5925c09f3cec281f2748,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_003
selection_fit,fit_004,4,,fit_004,random_k,,40.0,40.0,complete,,,,,,0.050774899893440306,,,,,0.050774899893440306,686d77fd0a26c6b773fe687f64906a0dddc7bfc43bff79183e07c5087ea8ad00,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_004
selection_fit,fit_005,5,,fit_005,iv_woe,,20.0,20.0,complete,,,,,,174.12094179994892,,,,,174.12094179994892,6683e3f88f26b6f2c56bc75ec6b5dfa2d66622036aca4220b4c8a67b6c6e47e3,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_005
selection_fit,fit_006,6,,fit_006,iv_woe,,40.0,40.0,complete,,,,,,174.3910390000092,,,,,174.3910390000092,27a8cd9f1419376ceb15c33527a738c7bf1565d6d483409d8ee4c8afe99df6a6,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_006
selection_fit,fit_007,7,,fit_007,mrmr_mutual_information,,20.0,20.0,complete,,,,,,393.8718225999037,,,,,393.8718225999037,ba2e13b22062505c1abf6e106cca23c51f6250d19765c75a2fd173c8747dc96d,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_007
selection_fit,fit_008,8,,fit_008,mrmr_mutual_information,,40.0,40.0,complete,,,,,,752.4270077999681,,,,,752.4270077999681,b609effa609af933751803fd62f919c80456231fab33b8f4dce0212edf2a70e5,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_008
selection_fit,fit_009,9,,fit_009,lasso_l1_logistic,,20.0,20.0,complete,,,,,,304.79869109997526,,,,,304.79869109997526,13d68f216ad8ab51c4ad64fd82cade360991bec10e28dc8a6a524a500cb85741,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_009
selection_fit,fit_010,10,,fit_010,lasso_l1_logistic,,40.0,40.0,complete,,,,,,297.78334980004,,,,,297.78334980004,3580bc78bed1f8e3759dd58108ae0dc71d1be997865c29b0197bf14801967bfa,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_010
selection_fit,fit_011,11,,fit_011,legacy_rf_relevance_corr,,20.0,20.0,complete,,,,,,992.1024232000345,,,,,992.1024232000345,f2e6b4a74bad6b7ba686c7fca3cabceb5768cc7b489bb27881d00928f31dd433,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_011
selection_fit,fit_012,12,,fit_012,legacy_rf_relevance_corr,,40.0,40.0,complete,,,,,,982.1443897999125,,,,,982.1443897999125,bbcd2bffe386e4834eac923f02e30f6fdd5d182ebe7799a973100f1475c15814,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_012
selection_fit,fit_013,13,,fit_013,catboost_shap,,20.0,20.0,complete,,,,,,127.96942430001218,,,,,127.96942430001218,16b7dcbcde3dec6c5d26a2294d1a910ef40bd0a0095aec6affe0e496e01a7cd4,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_013
selection_fit,fit_014,14,,fit_014,catboost_shap,,40.0,40.0,complete,,,,,,129.01151290000416,,,,,129.01151290000416,ca75c138a1b687e26fcfac6c4fb493b6b2143a784f3b041b02116c0b9494da97,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_014
selection_fit,fit_015,15,,fit_015,boruta_random_forest,,20.0,20.0,complete,,,,,,1297.1078036000254,,,,,1297.1078036000254,124ab4d39185a1390a15ee5bd779d2864f2df1e315711c1f38b25781507a4179,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_015
selection_fit,fit_016,16,,fit_016,boruta_random_forest,,40.0,40.0,complete,,,,,,1300.0481492999243,,,,,1300.0481492999243,a47e1b937c5e610d416602eed2f47d506f1e9aac1be5211a750a3127fbdc6828,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_016
selection_fit,fit_017,17,,fit_017,rfe_catboost,,20.0,20.0,complete,,,,,,858.702283999999,,,,,858.702283999999,fbf3e8ea168c87df0920156f0a50cf542128f7815b4f55511da1429602c7bdbb,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_017
selection_fit,fit_018,18,,fit_018,rfe_catboost,,40.0,40.0,complete,,,,,,841.6407862999476,,,,,841.6407862999476,53baea7413af800390ea91bbb4a116d558581eb8ccdc7e4c702205c473d7acbd,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/selection_fits/fit_018
