evidence_cohort,dataset,method_id,model,semantic_group,role,selected_feature_count,within_selection_share
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,person,classical_selected,23,0.0456349206349206
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,static,classical_selected,121,0.240079365079365
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,static_cb,classical_selected,18,0.0357142857142857
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,tax_registry_a,classical_selected,2,0.00396825396825397
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,applprev,classical_selected,83,0.16468253968254
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,credit_bureau_a,classical_selected,257,0.509920634920635
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,person,classical_selected,23,0.0456349206349206
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,static,classical_selected,121,0.240079365079365
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,static_cb,classical_selected,18,0.0357142857142857
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,tax_registry_a,classical_selected,2,0.00396825396825397
