feature_name,semantic_group,umap_1,umap_2
num_rev_tl_bal_gt_0_is_zero,balance_credit_limit_pressure,-2.3911262,6.641359
num_rev_tl_bal_gt_0_missing_flag,missingness_or_unknown,-0.77358115,11.012038
num_rev_tl_bal_gt_0_per_credit_history_year,credit_history_length,12.780897,3.0751817
num_rev_tl_bal_gt_0_per_open_acc,account_mix_credit_depth,10.470779,3.9700906
num_rev_tl_bal_gt_0_per_total_acc,account_mix_credit_depth,10.677152,4.1278415
num_rev_tl_bal_gt_0_positive_flag,balance_credit_limit_pressure,-2.3868768,6.5217557
num_sats,account_mix_credit_depth,10.852169,3.5101736
num_sats_is_zero,account_mix_credit_depth,-2.871438,6.480772
num_sats_missing_flag,missingness_or_unknown,-0.79878175,11.261974
num_sats_per_credit_history_year,credit_history_length,12.847175,3.1648262
num_sats_per_open_acc,account_mix_credit_depth,10.507219,3.7899978
num_sats_per_total_acc,account_mix_credit_depth,10.549171,3.9896164
num_sats_positive_flag,account_mix_credit_depth,-2.8510344,6.5574617
num_sats_share,account_mix_credit_depth,10.712645,3.5677125
num_tl_120dpd_2m,delinquency_derogatory,10.359423,0.43593866
num_tl_120dpd_2m_is_zero,delinquency_derogatory,-1.3372827,8.748259
num_tl_120dpd_2m_missing_flag,missingness_or_unknown,-1.1970534,10.916149
num_tl_120dpd_2m_per_credit_history_year,delinquency_derogatory,10.6165495,0.6389575
num_tl_120dpd_2m_per_open_acc,delinquency_derogatory,10.732981,0.012429419
num_tl_120dpd_2m_per_total_acc,delinquency_derogatory,10.773299,-0.16157043
num_tl_120dpd_2m_positive_flag,delinquency_derogatory,-1.2134235,8.899919
num_tl_30dpd,delinquency_derogatory,10.297699,0.20976292
num_tl_30dpd_is_zero,delinquency_derogatory,-1.2169559,8.7959
num_tl_30dpd_missing_flag,missingness_or_unknown,-0.81961083,11.279518
num_tl_30dpd_per_credit_history_year,delinquency_derogatory,10.691806,0.6284961
num_tl_30dpd_per_open_acc,delinquency_derogatory,10.764198,-0.038470425
num_tl_30dpd_per_total_acc,delinquency_derogatory,10.723503,-0.1568674
num_tl_30dpd_positive_flag,delinquency_derogatory,-1.121176,8.82827
num_tl_90g_dpd_24m,delinquency_derogatory,10.273061,0.3948786
num_tl_90g_dpd_24m_is_zero,delinquency_derogatory,-1.3071941,8.829072
num_tl_90g_dpd_24m_missing_flag,missingness_or_unknown,-0.76698107,11.32511
num_tl_90g_dpd_24m_per_credit_history_year,delinquency_derogatory,10.632003,0.55224246
num_tl_90g_dpd_24m_per_open_acc,delinquency_derogatory,10.779355,-0.041083064
num_tl_90g_dpd_24m_per_total_acc,delinquency_derogatory,10.647882,-0.18747877
num_tl_90g_dpd_24m_positive_flag,delinquency_derogatory,-1.3007152,8.823618
num_tl_op_past_12m,account_opening_activity,12.24918,3.570577
num_tl_op_past_12m_band,account_opening_activity,3.3548946,18.790466
num_tl_op_past_12m_is_zero,account_opening_activity,-3.585054,8.232706
num_tl_op_past_12m_missing_flag,missingness_or_unknown,-1.1493814,11.173937
num_tl_op_past_12m_per_credit_history_year,account_opening_activity,12.900488,3.2468252
num_tl_op_past_12m_per_open_acc,account_opening_activity,10.865842,3.6975703
num_tl_op_past_12m_per_total_acc,account_opening_activity,11.008069,4.0063643
num_tl_op_past_12m_positive_flag,account_opening_activity,-3.3948028,8.124239
num_tl_op_past_12m_share,account_opening_activity,12.491497,3.6527162
open_acc,account_mix_credit_depth,11.903185,5.76021
open_acc_6m_is_zero,account_mix_credit_depth,-2.7294328,7.4824133
open_acc_6m_missing_flag,missingness_or_unknown,-2.1213973,10.644969
open_acc_6m_positive_flag,account_mix_credit_depth,-2.4972854,7.526642
open_acc_band,account_mix_credit_depth,3.4550002,18.676798
open_acc_is_zero,account_mix_credit_depth,-2.3038633,7.3293185
open_acc_missing_flag,missingness_or_unknown,-0.82016134,10.143249
open_acc_positive_flag,account_mix_credit_depth,-2.2017093,7.3855944
open_act_il_is_zero,account_mix_credit_depth,-2.1472096,7.227705
open_act_il_missing_flag,missingness_or_unknown,-0.41119468,10.037908
open_act_il_positive_flag,account_mix_credit_depth,-2.1866167,7.3714685
open_il_12m_is_zero,account_mix_credit_depth,-2.483841,7.232354
